Date and Time Stamp,Tag,% Open
3/21/2017 15:53,Filter 6 dsh valve postion,-0.02
3/21/2017 16:08,Filter 6 dsh valve postion,-0.025
3/21/2017 16:23,Filter 6 dsh valve postion,-0.04
3/21/2017 16:38,Filter 6 dsh valve postion,-0.015
3/21/2017 16:53,Filter 6 dsh valve postion,-0.025
3/21/2017 17:08,Filter 6 dsh valve postion,-0.025
3/21/2017 17:23,Filter 6 dsh valve postion,-0.055
3/21/2017 17:38,Filter 6 dsh valve postion,-0.03
3/21/2017 17:53,Filter 6 dsh valve postion,-0.055
3/21/2017 18:08,Filter 6 dsh valve postion,-0.02
3/21/2017 18:23,Filter 6 dsh valve postion,-0.045
3/21/2017 18:38,Filter 6 dsh valve postion,-0.04
3/21/2017 18:53,Filter 6 dsh valve postion,-0.04
3/21/2017 19:08,Filter 6 dsh valve postion,-0.02
3/21/2017 19:23,Filter 6 dsh valve postion,-0.03
3/21/2017 19:38,Filter 6 dsh valve postion,-0.025
3/21/2017 19:53,Filter 6 dsh valve postion,-0.05
3/21/2017 20:08,Filter 6 dsh valve postion,-0.055
3/21/2017 20:23,Filter 6 dsh valve postion,-0.015
3/21/2017 20:38,Filter 6 dsh valve postion,-0.055
3/21/2017 20:53,Filter 6 dsh valve postion,-0.02
3/21/2017 21:08,Filter 6 dsh valve postion,-0.02
3/21/2017 21:23,Filter 6 dsh valve postion,-0.015
3/21/2017 21:38,Filter 6 dsh valve postion,-0.035
3/21/2017 21:53,Filter 6 dsh valve postion,-0.025
3/21/2017 22:08,Filter 6 dsh valve postion,-0.025
3/21/2017 22:23,Filter 6 dsh valve postion,-0.005
3/21/2017 22:38,Filter 6 dsh valve postion,-0.025
3/21/2017 22:53,Filter 6 dsh valve postion,-0.03
3/21/2017 23:08,Filter 6 dsh valve postion,-0.015
3/21/2017 23:23,Filter 6 dsh valve postion,-0.03
3/21/2017 23:38,Filter 6 dsh valve postion,-0.045
3/21/2017 23:53,Filter 6 dsh valve postion,-0.045
3/22/2017 0:08,Filter 6 dsh valve postion,-0.02
3/22/2017 0:23,Filter 6 dsh valve postion,-0.055
3/22/2017 0:38,Filter 6 dsh valve postion,-0.03
3/22/2017 0:53,Filter 6 dsh valve postion,-0.035
3/22/2017 1:08,Filter 6 dsh valve postion,-0.025
3/22/2017 1:23,Filter 6 dsh valve postion,-0.015
3/22/2017 1:38,Filter 6 dsh valve postion,-0.02
3/22/2017 1:53,Filter 6 dsh valve postion,-0.03
3/22/2017 2:08,Filter 6 dsh valve postion,-0.04
3/22/2017 2:23,Filter 6 dsh valve postion,-0.035
3/22/2017 2:38,Filter 6 dsh valve postion,-0.01
